airport,p01-airport1-p1.pddl,3,8,8,1
airport,p02-airport1-p1.pddl,9,9,9,9
airport,p03-airport1-p2.pddl,13,17,,
airport,p04-airport2-p1.pddl,3,20,20,1
airport,p05-airport2-p1.pddl,19,21,21,21
airport,p06-airport2-p2.pddl,23,41,41,22
airport,p07-airport2-p2.pddl,23,41,41,22
airport,p08-airport2-p3.pddl,41,62,62,43
airport,p09-airport2-p4.pddl,43,71,71,44
airport,p10-airport3-p1.pddl,3,18,18,1
airport,p11-airport3-p1.pddl,19,21,21,21
airport,p12-airport3-p2.pddl,23,39,39,22
airport,p13-airport3-p2.pddl,23,37,37,20
airport,p14-airport3-p3.pddl,41,60,60,43
airport,p15-airport3-p3.pddl,41,58,58,41
airport,p16-airport3-p4.pddl,59,79,79,62
airport,p17-airport3-p5.pddl,61,88,88,63
airport,p18-airport3-p6.pddl,79,107,107,82
airport,p19-airport3-p6.pddl,63,90,90,62
airport,p20-airport3-p7.pddl,82,115,115,83
airport,p21-airport4halfMUC-p2.pddl,26,101,101,54
airport,p22-airport4halfMUC-p3.pddl,29,148,148,55
airport,p23-airport4halfMUC-p4.pddl,31,168,168,42
airport,p24-airport4halfMUC-p4.pddl,72,162,162,114
airport,p25-airport4halfMUC-p5.pddl,76,212,212,119
airport,p26-airport4halfMUC-p6.pddl,78,220,220,94
airport,p27-airport4halfMUC-p6.pddl,118,246,246,198
airport,p28-airport4halfMUC-p7.pddl,122,294,294,201
airport,p29-airport4halfMUC-p8.pddl,124,308,308,182
airport,p30-airport4halfMUC-p8.pddl,164,310,310,262
airport,p31-airport4halfMUC-p9.pddl,168,358,358,265
airport,p32-airport4halfMUC-p10.pddl,170,390,390,264
airport,p33-airport4halfMUC-p10.pddl,191,393,393,300
airport,p34-airport4halfMUC-p11.pddl,193,427,427,301
airport,p35-airport4halfMUC-p12.pddl,196,433,433,302
airport,p36-airport5MUC-p2.pddl,,,109,61
airport,p37-airport5MUC-p3.pddl,,,141,141
