
airport/p01-airport1-p1.pddl,9,8
airport/p02-airport1-p1.pddl,10,9
airport/p03-airport1-p2.pddl,95,21
airport/p04-airport2-p1.pddl,21,20
airport/p05-airport2-p1.pddl,22,21
airport/p06-airport2-p2.pddl,540,41
airport/p07-airport2-p2.pddl,540,70
airport/p08-airport2-p3.pddl,13099,152
airport/p09-airport2-p4.pddl,89524,1201
airport/p10-airport3-p1.pddl,21,18
airport/p11-airport3-p1.pddl,22,21
airport/p12-airport3-p2.pddl,531,39
airport/p13-airport3-p2.pddl,475,53
airport/p14-airport3-p3.pddl,13010,60
airport/p15-airport3-p3.pddl,12224,336
airport/p16-airport3-p4.pddl,277526,1556
airport/p17-airport3-p5.pddl,,20637
airport/p18-airport3-p6.pddl,,
airport/p19-airport3-p6.pddl,,374
airport/p20-airport3-p7.pddl,,15138
airport/p21-airport4halfMUC-p2.pddl,5440,101
airport/p22-airport4halfMUC-p3.pddl,625387,148
airport/p23-airport4halfMUC-p4.pddl,,309
airport/p24-airport4halfMUC-p4.pddl,,162
airport/p25-airport4halfMUC-p5.pddl,,
airport/p26-airport4halfMUC-p6.pddl,,
airport/p27-airport4halfMUC-p6.pddl,,246
airport/p28-airport4halfMUC-p7.pddl,,
airport/p29-airport4halfMUC-p8.pddl,,
airport/p30-airport4halfMUC-p8.pddl,,310
airport/p31-airport4halfMUC-p9.pddl,,
airport/p32-airport4halfMUC-p10.pddl,,
airport/p33-airport4halfMUC-p10.pddl,,
airport/p34-airport4halfMUC-p11.pddl,,
airport/p35-airport4halfMUC-p12.pddl,,
airport/p36-airport5MUC-p2.pddl,10053,
airport/p37-airport5MUC-p3.pddl,36914,
airport/p38-airport5MUC-p3.pddl,,
airport/p39-airport5MUC-p4.pddl,,
airport/p40-airport5MUC-p4.pddl,,
airport/p41-airport5MUC-p4.pddl,,
airport/p42-airport5MUC-p5.pddl,,
airport/p43-airport5MUC-p5.pddl,,
airport/p44-airport5MUC-p5.pddl,,
airport/p45-airport5MUC-p6.pddl,,
airport/p46-airport5MUC-p6.pddl,,
airport/p47-airport5MUC-p8.pddl,,
airport/p48-airport5MUC-p9.pddl,,
airport/p49-airport5MUC-p10.pddl,,
airport/p50-airport5MUC-p15.pddl,,
barman-opt11-strips/pfile01-001.pddl,2285105,
barman-opt11-strips/pfile01-002.pddl,2271564,
barman-opt11-strips/pfile01-003.pddl,2271564,
barman-opt11-strips/pfile01-004.pddl,2271564,
barman-opt11-strips/pfile02-005.pddl,,
barman-opt11-strips/pfile02-006.pddl,,
barman-opt11-strips/pfile02-007.pddl,,
barman-opt11-strips/pfile02-008.pddl,,
barman-opt11-strips/pfile03-009.pddl,,
barman-opt11-strips/pfile03-010.pddl,,
barman-opt11-strips/pfile03-011.pddl,,
barman-opt11-strips/pfile03-012.pddl,,
barman-opt11-strips/pfile04-013.pddl,,
barman-opt11-strips/pfile04-014.pddl,,
barman-opt11-strips/pfile04-015.pddl,,
barman-opt11-strips/pfile04-016.pddl,,
barman-opt11-strips/pfile05-017.pddl,,
barman-opt11-strips/pfile05-018.pddl,,
barman-opt11-strips/pfile05-019.pddl,,
barman-opt11-strips/pfile05-020.pddl,,
blocks/probBLOCKS-10-0.pddl,1089400,56090
blocks/probBLOCKS-10-1.pddl,158070,6475
blocks/probBLOCKS-10-2.pddl,378562,18619
blocks/probBLOCKS-11-0.pddl,152768,14242
blocks/probBLOCKS-11-1.pddl,203758,8590
blocks/probBLOCKS-11-2.pddl,94960,16605
blocks/probBLOCKS-12-0.pddl,311066,5976
blocks/probBLOCKS-12-1.pddl,34359,2717
blocks/probBLOCKS-13-0.pddl,,
blocks/probBLOCKS-13-1.pddl,,
blocks/probBLOCKS-14-0.pddl,1048136,9474
blocks/probBLOCKS-14-1.pddl,1119430,29504
blocks/probBLOCKS-15-0.pddl,,
blocks/probBLOCKS-15-1.pddl,,
blocks/probBLOCKS-16-1.pddl,,
blocks/probBLOCKS-16-2.pddl,,
blocks/probBLOCKS-17-0.pddl,,
blocks/probBLOCKS-4-0.pddl,6,6
blocks/probBLOCKS-4-1.pddl,12,11
blocks/probBLOCKS-4-2.pddl,9,7
blocks/probBLOCKS-5-0.pddl,21,16
blocks/probBLOCKS-5-1.pddl,17,11
blocks/probBLOCKS-5-2.pddl,36,25
blocks/probBLOCKS-6-0.pddl,16,13
blocks/probBLOCKS-6-1.pddl,12,11
blocks/probBLOCKS-6-2.pddl,574,181
blocks/probBLOCKS-7-0.pddl,224,58
blocks/probBLOCKS-7-1.pddl,1593,406
blocks/probBLOCKS-7-2.pddl,254,76
blocks/probBLOCKS-8-0.pddl,298,58
blocks/probBLOCKS-8-1.pddl,2327,148
blocks/probBLOCKS-8-2.pddl,150,25
blocks/probBLOCKS-9-0.pddl,40972,2626
blocks/probBLOCKS-9-1.pddl,462,164
blocks/probBLOCKS-9-2.pddl,2505,238
depot/pfile1,113,11
depot/pfile10,1955845,
depot/pfile11,,
depot/pfile12,,
depot/pfile13,1003708,
depot/pfile14,,
depot/pfile15,,
depot/pfile16,,
depot/pfile17,,
depot/pfile18,,
depot/pfile19,,
depot/pfile2,1151,80
depot/pfile20,,
depot/pfile21,,
depot/pfile22,,
depot/pfile3,134099,18867
depot/pfile4,872174,
depot/pfile5,,
depot/pfile6,,
depot/pfile7,103345,11899
depot/pfile8,,
depot/pfile9,,
driverlog/pfile1,48,7
driverlog/pfile10,16561,64
driverlog/pfile11,104681,81
driverlog/pfile12,,
driverlog/pfile13,,
driverlog/pfile14,,
driverlog/pfile15,,
