Domain,Instance,DR,DR+TR+NC+LM,NC+LM,NC,LM
depot,pfile12,23,33,32,24,30
depot,pfile13,12,21,20,12,19
depot,pfile14,9,16,15,10,15
depot,pfile15,28,33,33,28,27
depot,pfile16,10,18,18,11,18
depot,pfile17,12,17,17,12,16
depot,pfile18,26,33,33,28,29
depot,pfile19,15,22,21,15,18
depot,pfile2,6,11,11,6,11
depot,pfile20,26,33,33,27,29
depot,pfile21,14,26,26,14,23
depot,pfile22,35,,43,35,35
depot,pfile3,12,17,17,12,16
depot,pfile4,13,15,15,13,15
depot,pfile5,18,26,26,18,25
depot,pfile6,22,32,31,26,27
depot,pfile7,10,15,15,10,15
depot,pfile8,15,22,22,16,21
depot,pfile9,27,36,35,28,28
driverlog,pfile1,4,7,7,3,6
driverlog,pfile10,15,16,14,12,14
driverlog,pfile11,15,19,16,11,16
driverlog,pfile12,18,24,23,17,21
driverlog,pfile13,17,20,18,15,18
driverlog,pfile14,20,25,23,18,23
driverlog,pfile15,26,30,25,19,24
driverlog,pfile16,38,47,39,36,37
driverlog,pfile17,44,54,48,43,45
driverlog,pfile18,49,58,48,45,47
driverlog,pfile19,64,78,66,60,64
driverlog,pfile2,13,15,14,12,12
driverlog,pfile20,69,,62,60,61
driverlog,pfile3,9,11,11,8,10
driverlog,pfile4,12,12,12,11,10
driverlog,pfile5,13,15,15,12,15
driverlog,pfile6,9,10,10,8,10
driverlog,pfile7,12,12,12,11,12
driverlog,pfile8,14,15,14,12,13
driverlog,pfile9,14,18,17,12,15
elevators-opt08-strips,p01.pddl,7,25,25,0,25
elevators-opt08-strips,p02.pddl,6,20,20,0,20
elevators-opt08-strips,p03.pddl,4,26,26,0,26
elevators-opt08-strips,p04.pddl,9,26,26,0,26
elevators-opt08-strips,p05.pddl,9,37,37,0,37
elevators-opt08-strips,p06.pddl,10,25,25,0,25
elevators-opt08-strips,p07.pddl,6,28,28,0,28
elevators-opt08-strips,p08.pddl,7,26,26,0,26
elevators-opt08-strips,p09.pddl,14,38,38,0,38
elevators-opt08-strips,p10.pddl,9,27,26,0,25
elevators-opt08-strips,p11.pddl,11,40,40,0,39
elevators-opt08-strips,p12.pddl,4,30,30,0,30
elevators-opt08-strips,p13.pddl,13,39,39,0,38
elevators-opt08-strips,p14.pddl,6,42,42,0,41
elevators-opt08-strips,p15.pddl,10,35,35,0,35
elevators-opt08-strips,p16.pddl,9,36,36,0,36
elevators-opt08-strips,p17.pddl,14,49,49,0,48
elevators-opt08-strips,p18.pddl,13,44,44,0,44
elevators-opt08-strips,p19.pddl,9,47,47,0,47
elevators-opt08-strips,p20.pddl,16,48,47,0,45
elevators-opt08-strips,p21.pddl,8,32,32,0,32
elevators-opt08-strips,p22.pddl,3,29,29,0,27
elevators-opt08-strips,p23.pddl,9,33,33,0,32
elevators-opt08-strips,p24.pddl,6,38,38,0,37
elevators-opt08-strips,p25.pddl,11,38,38,0,37
elevators-opt08-strips,p26.pddl,6,33,33,0,33
elevators-opt08-strips,p27.pddl,15,43,40,0,39
elevators-opt08-strips,p28.pddl,10,34,34,0,33
elevators-opt08-strips,p29.pddl,12,38,38,0,37
elevators-opt08-strips,p30.pddl,14,45,45,0,43
elevators-opt11-strips,p01.pddl,11,40,40,0,39
