Domain,Instance,DR,DR+TR+NC+LM,NC+LM,NC,LM
mprime,prob09.pddl,4,6,5,4,5
mprime,prob10.pddl,2,5,5,2,5
mprime,prob11.pddl,4,7,7,4,7
mprime,prob12.pddl,2,4,4,2,4
mprime,prob13.pddl,3,10,9,4,9
mprime,prob14.pddl,3,8,7,4,7
mprime,prob15.pddl,2,4,4,2,4
mprime,prob16.pddl,3,5,4,4,4
mprime,prob17.pddl,2,4,4,2,4
mprime,prob18.pddl,2,7,7,2,7
mprime,prob19.pddl,2,4,3,2,3
mprime,prob20.pddl,2,4,4,2,4
mprime,prob21.pddl,2,3,3,2,3
mprime,prob22.pddl,2,5,5,2,5
mprime,prob23.pddl,2,6,6,2,6
mprime,prob24.pddl,2,4,4,2,4
mprime,prob25.pddl,2,4,4,2,4
mprime,prob26.pddl,2,5,4,2,4
mprime,prob27.pddl,3,5,4,4,4
mprime,prob28.pddl,4,6,5,4,5
mprime,prob29.pddl,2,3,3,2,3
mprime,prob30.pddl,4,6,5,4,5
mprime,prob31.pddl,2,3,3,2,3
mprime,prob32.pddl,2,5,5,2,5
mprime,prob33.pddl,2,7,6,2,6
mprime,prob34.pddl,2,3,3,2,3
mprime,prob35.pddl,2,4,4,2,4
mystery,prob01.pddl,2,4,4,2,4
mystery,prob02.pddl,3,5,5,4,5
mystery,prob03.pddl,3,4,4,2,4
mystery,prob04.pddl,4,,,2,7
mystery,prob05.pddl,4,8,8,4,8
mystery,prob06.pddl,3,8,7,4,7
mystery,prob07.pddl,,,,0,
mystery,prob08.pddl,2,5,5,2,5
mystery,prob09.pddl,4,7,6,4,6
mystery,prob10.pddl,2,6,6,2,6
mystery,prob11.pddl,4,7,7,4,6
mystery,prob12.pddl,2,5,4,2,4
mystery,prob13.pddl,3,10,9,4,9
mystery,prob14.pddl,3,7,7,4,7
mystery,prob15.pddl,2,5,4,2,4
mystery,prob16.pddl,3,5,5,4,4
mystery,prob17.pddl,2,4,4,2,4
mystery,prob18.pddl,,,,0,
mystery,prob19.pddl,2,4,4,2,4
mystery,prob20.pddl,2,5,5,2,5
mystery,prob21.pddl,2,3,3,2,3
mystery,prob22.pddl,2,7,6,4,6
mystery,prob23.pddl,2,9,8,4,8
mystery,prob24.pddl,2,,8,4,8
mystery,prob25.pddl,2,4,4,2,4
mystery,prob26.pddl,2,5,5,2,5
mystery,prob27.pddl,3,5,4,4,4
mystery,prob28.pddl,4,6,6,4,6
mystery,prob29.pddl,2,4,4,2,4
mystery,prob30.pddl,4,6,5,4,5
nomystery-opt11-strips,p01.pddl,9,9,9,6,9
nomystery-opt11-strips,p02.pddl,11,12,12,8,11
nomystery-opt11-strips,p03.pddl,13,13,13,10,13
nomystery-opt11-strips,p04.pddl,16,17,17,12,16
nomystery-opt11-strips,p05.pddl,20,21,21,14,20
nomystery-opt11-strips,p06.pddl,23,23,22,16,22
nomystery-opt11-strips,p07.pddl,25,27,25,18,24
nomystery-opt11-strips,p08.pddl,27,29,24,20,24
nomystery-opt11-strips,p09.pddl,28,32,30,22,28
nomystery-opt11-strips,p10.pddl,31,33,31,24,30
nomystery-opt11-strips,p11.pddl,9,9,9,6,9
nomystery-opt11-strips,p12.pddl,11,12,12,8,11
nomystery-opt11-strips,p13.pddl,13,13,13,10,13
nomystery-opt11-strips,p14.pddl,16,17,17,12,16
nomystery-opt11-strips,p15.pddl,20,21,21,14,20
nomystery-opt11-strips,p16.pddl,23,23,22,16,22
nomystery-opt11-strips,p17.pddl,25,27,25,18,24
nomystery-opt11-strips,p18.pddl,27,29,24,20,24
nomystery-opt11-strips,p19.pddl,28,32,30,22,28
nomystery-opt11-strips,p20.pddl,31,33,31,24,30
openstacks-opt08-strips,p01.pddl,0,1,1,0,1
openstacks-opt08-strips,p02.pddl,0,1,1,0,1
openstacks-opt08-strips,p03.pddl,0,1,1,0,1
openstacks-opt08-strips,p04.pddl,0,1,1,0,1
openstacks-opt08-strips,p05.pddl,0,1,1,0,1
openstacks-opt08-strips,p06.pddl,0,1,1,0,1
openstacks-opt08-strips,p07.pddl,0,1,1,0,1
openstacks-opt08-strips,p08.pddl,0,1,1,0,1
openstacks-opt08-strips,p09.pddl,0,1,1,0,1
openstacks-opt08-strips,p10.pddl,0,1,1,0,1
openstacks-opt08-strips,p11.pddl,0,1,1,0,1
openstacks-opt08-strips,p12.pddl,0,1,1,0,1
openstacks-opt08-strips,p13.pddl,0,1,1,0,1
openstacks-opt08-strips,p14.pddl,0,1,1,0,1
openstacks-opt08-strips,p15.pddl,0,1,1,0,1
openstacks-opt08-strips,p16.pddl,0,1,1,0,1
openstacks-opt08-strips,p17.pddl,0,1,1,0,1
openstacks-opt08-strips,p18.pddl,0,1,1,0,1
openstacks-opt08-strips,p19.pddl,0,1,1,0,1
openstacks-opt08-strips,p20.pddl,0,1,1,0,1
openstacks-opt08-strips,p21.pddl,0,1,1,0,1
openstacks-opt08-strips,p22.pddl,0,1,1,0,1
openstacks-opt08-strips,p23.pddl,0,1,1,0,1
openstacks-opt08-strips,p24.pddl,0,1,1,0,1
openstacks-opt08-strips,p25.pddl,0,1,1,0,1
openstacks-opt08-strips,p26.pddl,0,1,1,0,1
openstacks-opt08-strips,p27.pddl,0,1,1,0,1
openstacks-opt08-strips,p28.pddl,0,1,1,0,1
openstacks-opt08-strips,p29.pddl,0,1,1,0,1
openstacks-opt08-strips,p30.pddl,0,1,1,0,1
openstacks-opt11-strips,p01.pddl,0,1,1,0,1
openstacks-opt11-strips,p02.pddl,0,1,1,0,1
openstacks-opt11-strips,p03.pddl,0,1,1,0,1
openstacks-opt11-strips,p04.pddl,0,1,1,0,1
openstacks-opt11-strips,p05.pddl,0,1,1,0,1
openstacks-opt11-strips,p06.pddl,0,1,1,0,1
openstacks-opt11-strips,p07.pddl,0,1,1,0,1
openstacks-opt11-strips,p08.pddl,0,1,1,0,1
openstacks-opt11-strips,p09.pddl,0,1,1,0,1
openstacks-opt11-strips,p10.pddl,0,1,1,0,1
openstacks-opt11-strips,p11.pddl,0,1,1,0,1
openstacks-opt11-strips,p12.pddl,0,1,1,0,1
openstacks-opt11-strips,p13.pddl,0,1,1,0,1
openstacks-opt11-strips,p14.pddl,0,1,1,0,1
openstacks-opt11-strips,p15.pddl,0,1,1,0,1
openstacks-opt11-strips,p16.pddl,0,1,1,0,1
openstacks-opt11-strips,p17.pddl,0,1,1,0,1
openstacks-opt11-strips,p18.pddl,0,1,1,0,1
openstacks-opt11-strips,p19.pddl,0,1,1,0,1
openstacks-opt11-strips,p20.pddl,0,1,1,0,1
openstacks-strips,p01.pddl,8,17,16,10,13
openstacks-strips,p02.pddl,8,19,18,10,14
openstacks-strips,p03.pddl,8,17,16,10,13
openstacks-strips,p04.pddl,8,17,16,10,13
openstacks-strips,p05.pddl,8,17,16,10,13
openstacks-strips,p06.pddl,13,37,37,20,28
openstacks-strips,p07.pddl,13,32,31,20,23
openstacks-strips,p08.pddl,18,52,50,30,38
openstacks-strips,p09.pddl,18,52,50,30,44
openstacks-strips,p10.pddl,23,64,63,40,44
openstacks-strips,p11.pddl,23,63,62,40,44
openstacks-strips,p12.pddl,23,69,68,40,47
openstacks-strips,p13.pddl,23,61,60,40,42
openstacks-strips,p14.pddl,23,61,60,40,42
openstacks-strips,p15.pddl,23,77,77,40,57
openstacks-strips,p16.pddl,23,69,68,40,50
openstacks-strips,p17.pddl,23,74,72,40,56
openstacks-strips,p18.pddl,29,110,108,50,80
openstacks-strips,p19.pddl,28,83,82,50,54
openstacks-strips,p20.pddl,33,99,98,60,63
openstacks-strips,p21.pddl,33,94,93,60,66
openstacks-strips,p22.pddl,33,97,96,60,66
openstacks-strips,p23.pddl,33,105,104,60,71
openstacks-strips,p24.pddl,53,198,198,100,157
openstacks-strips,p25.pddl,53,,185,100,149
openstacks-strips,p26.pddl,53,163,162,100,106
openstacks-strips,p27.pddl,78,,252,150,167
openstacks-strips,p28.pddl,,,298,200,233
openstacks-strips,p29.pddl,,,381,200,307
openstacks-strips,p30.pddl,103,,394,200,283
parcprinter-08-strips,p01.pddl,169009,169009,169009,169009,169009
parcprinter-08-strips,p02.pddl,438047,438047,438047,438047,438047
parcprinter-08-strips,p03.pddl,807114,807114,807114,807114,807114
parcprinter-08-strips,p04.pddl,876094,876094,876094,876094,872094
parcprinter-08-strips,p05.pddl,1145132,1145132,1145132,1145132,1145132
parcprinter-08-strips,p06.pddl,1514199,1514199,1514199,1514199,1512198
parcprinter-08-strips,p07.pddl,1383121,1383121,1383121,1383121,1377123
parcprinter-08-strips,p08.pddl,1852217,1852217,1852217,1852217,1848215
parcprinter-08-strips,p09.pddl,2121255,2121255,2121255,2121255,2114254
parcprinter-08-strips,p10.pddl,2490322,2490322,2490322,2490322,2480317
parcprinter-08-strips,p11.pddl,165989,182808,182808,182808,165989
parcprinter-08-strips,p12.pddl,425725,510256,510256,510256,425725
parcprinter-08-strips,p13.pddl,591714,693064,693064,693064,591714
parcprinter-08-strips,p14.pddl,851450,1020512,1020512,1020512,851450
parcprinter-08-strips,p15.pddl,1323035,1695507,1695507,1695507,1323035
parcprinter-08-strips,p16.pddl,1370922,1675408,1675408,1675408,1370922
parcprinter-08-strips,p17.pddl,1443164,1713576,1713576,1713576,1443164
parcprinter-08-strips,p18.pddl,1890394,2330304,2330304,2330304,1890394
parcprinter-08-strips,p19.pddl,2579475,3352846,3352846,3352846,2579475
parcprinter-08-strips,p20.pddl,2246727,2754187,2754187,2754187,2246727
parcprinter-08-strips,p21.pddl,142599,143411,143411,143411,143411
parcprinter-08-strips,p22.pddl,374197,375821,375821,375821,375821
parcprinter-08-strips,p23.pddl,516796,519232,519232,519232,519232
parcprinter-08-strips,p24.pddl,748394,751642,751642,751642,751642
parcprinter-08-strips,p25.pddl,1192845,1215839,1215839,1215839,1196842
parcprinter-08-strips,p26.pddl,1211590,1216462,1216462,1216462,1216462
parcprinter-08-strips,p27.pddl,1265190,1270874,1270874,1270874,1270874
parcprinter-08-strips,p28.pddl,1674786,1681282,1681282,1681282,1681282
parcprinter-08-strips,p29.pddl,2336088,2377265,2377265,2377265,2340272
parcprinter-08-strips,p30.pddl,1994839,2021893,2021893,2021893,2002896
parcprinter-opt11-strips,p01.pddl,374197,375821,375821,375821,375821
parcprinter-opt11-strips,p02.pddl,438047,438047,438047,438047,438047
parcprinter-opt11-strips,p03.pddl,425725,510256,510256,510256,425725
parcprinter-opt11-strips,p04.pddl,876094,876094,876094,876094,872094
parcprinter-opt11-strips,p05.pddl,516796,519232,519232,519232,519232
parcprinter-opt11-strips,p06.pddl,1514199,1514199,1514199,1514199,1512198
parcprinter-opt11-strips,p07.pddl,1145132,1145132,1145132,1145132,1145132
parcprinter-opt11-strips,p08.pddl,748394,751642,751642,751642,751642
parcprinter-opt11-strips,p09.pddl,591714,693064,693064,693064,591714
parcprinter-opt11-strips,p10.pddl,1192845,1215839,1215839,1215839,1196842
parcprinter-opt11-strips,p11.pddl,1211590,1216462,1216462,1216462,1216462
parcprinter-opt11-strips,p12.pddl,851450,1020512,1020512,1020512,851450
parcprinter-opt11-strips,p13.pddl,1383121,1383121,1383121,1383121,1377123
parcprinter-opt11-strips,p14.pddl,1852217,1852217,1852217,1852217,1848215
parcprinter-opt11-strips,p15.pddl,2121255,2121255,2121255,2121255,2114254
parcprinter-opt11-strips,p16.pddl,2490322,2490322,2490322,2490322,2480317
parcprinter-opt11-strips,p17.pddl,1323035,1695507,1695507,1695507,1323035
parcprinter-opt11-strips,p18.pddl,1370922,1675408,1675408,1675408,1370922
parcprinter-opt11-strips,p19.pddl,1443164,1713576,1713576,1713576,1443164
parcprinter-opt11-strips,p20.pddl,1265190,1270874,1270874,1270874,1270874
parcprinter-sat11-strips,p01.pddl,1383121,1383121,1383121,1383121,1377123
parcprinter-sat11-strips,p02.pddl,1852217,1852217,1852217,1852217,1848215
parcprinter-sat11-strips,p03.pddl,2490322,2490322,2490322,2490322,2480317
parcprinter-sat11-strips,p04.pddl,2246727,2754187,2754187,2754187,2246727
parcprinter-sat11-strips,p05.pddl,1211590,1216462,1216462,1216462,1216462
parcprinter-sat11-strips,p06.pddl,1265190,1270874,1270874,1270874,1270874
parcprinter-sat11-strips,p07.pddl,2121255,2121255,2121255,2121255,2114254
parcprinter-sat11-strips,p08.pddl,1674786,1681282,1681282,1681282,1681282
parcprinter-sat11-strips,p09.pddl,2336088,2377265,2377265,2377265,2340272
parcprinter-sat11-strips,p10.pddl,1994839,2021893,2021893,2021893,2002896
parcprinter-sat11-strips,p11.pddl,1629147,1891203,1891203,1891203,1623149
parcprinter-sat11-strips,p12.pddl,2828340,2828340,2828340,2828340,2815336
parcprinter-sat11-strips,p13.pddl,3335367,3335367,3335367,3335367,3316368
parcprinter-sat11-strips,p14.pddl,2578705,3119803,3119803,3119803,2578705
parcprinter-sat11-strips,p15.pddl,2494225,3160001,3160001,3160001,2494225
parcprinter-sat11-strips,p16.pddl,2826203,3525617,3525617,3525617,2826203
parcprinter-sat11-strips,p17.pddl,1520895,1556448,1556448,1556448,1520456
parcprinter-sat11-strips,p18.pddl,2313344,2376643,2376643,2376643,2319652
parcprinter-sat11-strips,p19.pddl,2974646,3072626,3072626,3072626,2978642
parcprinter-sat11-strips,p20.pddl,2280037,2308715,2308715,2308715,2289718
parking-opt11-strips,pfile03-011.pddl,9,10,9,8,9
parking-opt11-strips,pfile03-012.pddl,13,13,13,12,13
parking-opt11-strips,pfile04-013.pddl,15,15,15,14,15
parking-opt11-strips,pfile04-014.pddl,14,15,14,13,14
parking-opt11-strips,pfile04-015.pddl,14,13,13,13,13
parking-opt11-strips,pfile04-016.pddl,13,13,13,12,13
parking-opt11-strips,pfile05-017.pddl,16,15,15,15,15
parking-opt11-strips,pfile05-018.pddl,15,14,14,14,14
parking-opt11-strips,pfile05-019.pddl,17,17,17,16,17
parking-opt11-strips,pfile05-020.pddl,17,17,17,16,16
parking-opt11-strips,pfile06-021.pddl,18,19,19,17,19
parking-opt11-strips,pfile06-022.pddl,19,20,20,18,20
parking-opt11-strips,pfile06-023.pddl,17,19,19,16,19
parking-opt11-strips,pfile06-024.pddl,18,19,18,17,18
parking-opt11-strips,pfile07-025.pddl,21,21,21,20,21
parking-opt11-strips,pfile07-026.pddl,20,19,19,19,19
parking-opt11-strips,pfile07-027.pddl,,20,20,20,20
parking-opt11-strips,pfile07-028.pddl,,23,23,20,23
parking-opt11-strips,pfile08-029.pddl,,,21,21,21
parking-opt11-strips,pfile08-030.pddl,,,22,22,22
pathways-noneg,p01.pddl,6,6,6,1,6
pathways-noneg,p02.pddl,10,12,12,2,12
pathways-noneg,p03.pddl,16,18,17,3,16
pathways-noneg,p04.pddl,15,17,16,4,15
pathways-noneg,p05.pddl,28,30,28,6,28
pathways-noneg,p06.pddl,40,55,50,8,42
pathways-noneg,p07.pddl,46,63,57,11,43
pathways-noneg,p08.pddl,52,76,66,12,53
pathways-noneg,p09.pddl,46,61,54,13,42
pathways-noneg,p10.pddl,51,73,72,14,53
pathways-noneg,p11.pddl,53,80,73,15,52
pathways-noneg,p12.pddl,61,91,74,16,63
pathways-noneg,p13.pddl,64,96,80,17,64
pathways-noneg,p14.pddl,69,98,83,18,64
pathways-noneg,p15.pddl,73,102,97,19,72
pathways-noneg,p16.pddl,72,130,115,20,74
pathways-noneg,p17.pddl,85,145,131,21,91
pathways-noneg,p18.pddl,93,159,148,24,88
pathways-noneg,p19.pddl,103,150,134,26,91
pathways-noneg,p20.pddl,95,174,155,27,90
pathways-noneg,p21.pddl,97,175,153,28,91
pathways-noneg,p22.pddl,102,149,134,29,88
pathways-noneg,p23.pddl,105,170,150,30,91
pathways-noneg,p24.pddl,105,208,188,31,102
pathways-noneg,p25.pddl,112,169,150,33,109
pathways-noneg,p26.pddl,111,188,170,34,116
pathways-noneg,p27.pddl,116,223,204,35,115
pathways-noneg,p28.pddl,119,194,165,37,111
pathways-noneg,p29.pddl,127,242,223,39,117
pathways-noneg,p30.pddl,127,252,230,40,114
pegsol-08-strips,p01.pddl,0,2,2,2,2
pegsol-08-strips,p02.pddl,0,1,1,0,1
pegsol-08-strips,p03.pddl,0,1,1,0,1
pegsol-08-strips,p04.pddl,0,2,2,2,2
pegsol-08-strips,p05.pddl,0,2,2,0,2
pegsol-08-strips,p06.pddl,0,1,1,1,1
pegsol-08-strips,p07.pddl,0,3,3,3,2
pegsol-08-strips,p08.pddl,0,1,1,0,1
pegsol-08-strips,p09.pddl,0,3,3,3,2
pegsol-08-strips,p10.pddl,0,3,3,2,3
pegsol-08-strips,p11.pddl,0,3,3,2,3
pegsol-08-strips,p12.pddl,0,3,3,2,3
pegsol-08-strips,p13.pddl,0,4,4,4,4
pegsol-08-strips,p14.pddl,0,4,4,4,2
pegsol-08-strips,p15.pddl,0,3,3,3,2
pegsol-08-strips,p16.pddl,0,7,7,7,3
pegsol-08-strips,p17.pddl,0,2,2,1,2
pegsol-08-strips,p18.pddl,0,5,5,5,5
pegsol-08-strips,p19.pddl,0,4,4,4,3
pegsol-08-strips,p20.pddl,0,2,2,1,2
pegsol-08-strips,p21.pddl,0,3,3,3,1
pegsol-08-strips,p22.pddl,0,3,3,3,1
pegsol-08-strips,p23.pddl,0,3,3,2,2
pegsol-08-strips,p24.pddl,0,4,4,4,1
pegsol-08-strips,p25.pddl,0,3,3,2,3
pegsol-08-strips,p26.pddl,0,3,3,1,3
pegsol-08-strips,p27.pddl,0,4,4,4,2
pegsol-08-strips,p28.pddl,0,8,8,8,5
pegsol-08-strips,p29.pddl,0,5,5,5,3
pegsol-08-strips,p30.pddl,0,10,10,9,9
pegsol-opt11-strips,p01.pddl,0,1,1,1,1
pegsol-opt11-strips,p02.pddl,0,2,2,1,2
pegsol-opt11-strips,p03.pddl,0,5,5,5,5
pegsol-opt11-strips,p04.pddl,0,4,4,4,3
pegsol-opt11-strips,p05.pddl,0,7,7,7,5
pegsol-opt11-strips,p06.pddl,0,2,2,2,2
pegsol-opt11-strips,p07.pddl,0,3,3,3,3
pegsol-opt11-strips,p08.pddl,0,2,2,1,2
pegsol-opt11-strips,p09.pddl,0,2,2,2,2
pegsol-opt11-strips,p10.pddl,0,3,3,3,1
pegsol-opt11-strips,p11.pddl,0,3,3,3,1
pegsol-opt11-strips,p12.pddl,0,5,5,5,4
pegsol-opt11-strips,p13.pddl,0,3,3,2,2
pegsol-opt11-strips,p14.pddl,0,4,4,4,1
pegsol-opt11-strips,p15.pddl,0,3,3,2,3
pegsol-opt11-strips,p16.pddl,0,3,3,1,3
pegsol-opt11-strips,p17.pddl,0,4,4,4,2
pegsol-opt11-strips,p18.pddl,0,8,8,8,5
pegsol-opt11-strips,p19.pddl,0,5,5,5,3
pegsol-opt11-strips,p20.pddl,0,10,10,9,9
pipesworld-notankage,p01-net1-b6-g2.pddl,3,5,5,3,5
pipesworld-notankage,p02-net1-b6-g4.pddl,4,8,8,6,6
pipesworld-notankage,p03-net1-b8-g3.pddl,3,6,6,4,6
pipesworld-notankage,p04-net1-b8-g5.pddl,5,7,7,7,6
pipesworld-notankage,p05-net1-b10-g4.pddl,4,7,6,5,6
pipesworld-notankage,p06-net1-b10-g6.pddl,6,8,7,7,7
pipesworld-notankage,p07-net1-b12-g5.pddl,5,7,6,6,6
pipesworld-notankage,p08-net1-b12-g7.pddl,7,9,8,8,7
pipesworld-notankage,p09-net1-b14-g6.pddl,6,12,12,9,8
pipesworld-notankage,p10-net1-b14-g8.pddl,8,15,14,12,11
pipesworld-notankage,p11-net2-b10-g2.pddl,5,9,8,6,7
pipesworld-notankage,p12-net2-b10-g4.pddl,7,14,14,13,9
pipesworld-notankage,p13-net2-b12-g3.pddl,5,11,11,8,8
pipesworld-notankage,p14-net2-b12-g5.pddl,8,18,18,14,10
pipesworld-notankage,p15-net2-b14-g4.pddl,6,12,11,9,7
pipesworld-notankage,p16-net2-b14-g6.pddl,10,24,18,16,9
pipesworld-notankage,p17-net2-b16-g5.pddl,8,14,14,12,9
pipesworld-notankage,p18-net2-b16-g7.pddl,11,20,18,18,9
pipesworld-notankage,p19-net2-b18-g6.pddl,9,15,15,12,10
pipesworld-notankage,p20-net2-b18-g8.pddl,13,18,18,16,10
pipesworld-notankage,p21-net3-b12-g2.pddl,4,8,8,4,7
pipesworld-notankage,p22-net3-b12-g4.pddl,6,14,14,7,12
pipesworld-notankage,p23-net3-b14-g3.pddl,5,11,10,6,9
pipesworld-notankage,p24-net3-b14-g5.pddl,8,12,12,10,10
pipesworld-notankage,p25-net3-b16-g5.pddl,8,16,16,13,11
pipesworld-notankage,p26-net3-b16-g7.pddl,10,20,20,17,12
pipesworld-notankage,p27-net3-b18-g6.pddl,9,17,16,16,11
pipesworld-notankage,p28-net3-b18-g7.pddl,10,20,20,18,14
pipesworld-notankage,p29-net3-b20-g6.pddl,9,17,17,12,12
pipesworld-notankage,p30-net3-b20-g8.pddl,11,24,22,20,14
pipesworld-notankage,p31-net4-b14-g3.pddl,5,11,11,8,9
pipesworld-notankage,p32-net4-b14-g5.pddl,7,15,15,13,9
pipesworld-notankage,p33-net4-b16-g5.pddl,6,14,14,11,10
pipesworld-notankage,p34-net4-b16-g6.pddl,8,18,17,16,12
pipesworld-notankage,p35-net4-b18-g4.pddl,5,10,10,8,6
pipesworld-notankage,p36-net4-b18-g6.pddl,7,15,15,13,10
pipesworld-notankage,p37-net4-b20-g5.pddl,6,11,11,9,7
pipesworld-notankage,p38-net4-b20-g7.pddl,9,15,15,12,9
pipesworld-notankage,p39-net4-b22-g7.pddl,9,15,15,14,8
pipesworld-notankage,p40-net4-b22-g8.pddl,10,17,17,16,8
pipesworld-notankage,p41-net5-b22-g2.pddl,3,7,7,6,6
pipesworld-notankage,p42-net5-b22-g4.pddl,5,13,13,10,9
pipesworld-notankage,p43-net5-b24-g3.pddl,4,13,13,9,11
pipesworld-notankage,p44-net5-b24-g5.pddl,7,19,19,17,11
pipesworld-notankage,p45-net5-b26-g4.pddl,6,,17,12,11
pipesworld-notankage,p46-net5-b26-g6.pddl,8,21,20,16,12
pipesworld-notankage,p47-net5-b28-g5.pddl,7,,18,12,14
pipesworld-notankage,p48-net5-b28-g7.pddl,9,,21,19,14
pipesworld-notankage,p49-net5-b30-g6.pddl,7,15,15,12,11
pipesworld-notankage,p50-net5-b30-g8.pddl,10,,20,18,13
pipesworld-tankage,p01-net1-b6-g2-t50.pddl,3,5,5,5,4
pipesworld-tankage,p02-net1-b6-g4-t50.pddl,4,8,8,8,5
pipesworld-tankage,p03-net1-b8-g3-t80.pddl,3,7,7,7,6
pipesworld-tankage,p04-net1-b8-g5-t80.pddl,5,8,8,8,6
pipesworld-tankage,p05-net1-b10-g4-t50.pddl,4,7,7,7,6
pipesworld-tankage,p06-net1-b10-g6-t50.pddl,6,9,9,9,6
pipesworld-tankage,p07-net1-b12-g5-t80.pddl,5,7,7,7,7
pipesworld-tankage,p08-net1-b12-g7-t80.pddl,7,9,9,9,7
pipesworld-tankage,p09-net1-b14-g6-t50.pddl,6,13,13,12,8
pipesworld-tankage,p10-net1-b14-g8-t50.pddl,8,16,16,16,10
pipesworld-tankage,p11-net2-b10-g2-t30.pddl,4,10,10,10,8
pipesworld-tankage,p12-net2-b10-g4-t60.pddl,6,16,16,16,8
pipesworld-tankage,p13-net2-b12-g3-t70.pddl,5,12,12,12,8
pipesworld-tankage,p14-net2-b12-g5-t30.pddl,7,18,18,16,10
pipesworld-tankage,p15-net2-b14-g4-t30.pddl,5,14,14,12,8
pipesworld-tankage,p16-net2-b14-g6-t80.pddl,8,24,22,22,9
pipesworld-tankage,p17-net2-b16-g5-t20.pddl,7,15,15,14,10
pipesworld-tankage,p18-net2-b16-g7-t60.pddl,9,22,22,22,8
pipesworld-tankage,p19-net2-b18-g6-t60.pddl,8,17,17,14,11
pipesworld-tankage,p20-net2-b18-g8-t90.pddl,,19,19,19,10
pipesworld-tankage,p21-net3-b12-g2-t60.pddl,3,10,10,8,7
pipesworld-tankage,p22-net3-b12-g4-t60.pddl,5,16,16,16,12
pipesworld-tankage,p23-net3-b14-g3-t60.pddl,5,13,13,11,10
pipesworld-tankage,p24-net3-b14-g5-t60.pddl,7,15,15,15,11
pipesworld-tankage,p25-net3-b16-g5-t60.pddl,,,20,19,10
pipesworld-tankage,p26-net3-b16-g7-t70.pddl,,,21,20,11
pipesworld-tankage,p27-net3-b18-g6-t70.pddl,,,18,18,11
pipesworld-tankage,p28-net3-b18-g7-t70.pddl,,,24,24,15
pipesworld-tankage,p29-net3-b20-g6-t70.pddl,,,20,20,12
pipesworld-tankage,p30-net3-b20-g8-t70.pddl,,,30,30,12
pipesworld-tankage,p31-net4-b14-g3-t20.pddl,5,14,14,14,11
pipesworld-tankage,p32-net4-b14-g5-t30.pddl,6,18,18,18,11
pipesworld-tankage,p33-net4-b16-g5-t60.pddl,6,20,19,19,9
pipesworld-tankage,p34-net4-b16-g6-t60.pddl,,,21,21,12
pipesworld-tankage,p35-net4-b18-g4-t90.pddl,,,12,11,9
pipesworld-tankage,p36-net4-b18-g6-t90.pddl,,,16,16,9
pipesworld-tankage,p37-net4-b20-g5-t60.pddl,,,15,14,8
pipesworld-tankage,p38-net4-b20-g7-t60.pddl,,,18,18,8
pipesworld-tankage,p39-net4-b22-g7-t50.pddl,,,20,20,9
pipesworld-tankage,p40-net4-b22-g8-t50.pddl,,,20,20,10
pipesworld-tankage,p41-net5-b22-g2-t20.pddl,,,8,8,5
pipesworld-tankage,p42-net5-b22-g4-t50.pddl,,,17,14,10
pipesworld-tankage,p43-net5-b24-g3-t80.pddl,,,15,13,11
pipesworld-tankage,p44-net5-b24-g5-t80.pddl,,,22,21,11
pipesworld-tankage,p45-net5-b26-g4-t50.pddl,,,19,17,11
pipesworld-tankage,p46-net5-b26-g6-t50.pddl,,,24,23,12
pipesworld-tankage,p47-net5-b28-g5-t50.pddl,,,22,21,14
pipesworld-tankage,p48-net5-b28-g7-t50.pddl,,,26,26,14
pipesworld-tankage,p49-net5-b30-g6-t50.pddl,,,17,16,12
pipesworld-tankage,p50-net5-b30-g8-t50.pddl,,,22,21,12
psr-small,p01-s2-n1-l2-f50.pddl,1,3,3,3,1
psr-small,p02-s5-n1-l3-f30.pddl,1,4,4,4,1
psr-small,p03-s7-n1-l3-f70.pddl,1,4,4,4,1
psr-small,p04-s8-n1-l4-f10.pddl,1,4,4,4,1
psr-small,p05-s9-n1-l4-f30.pddl,1,4,4,4,1
psr-small,p06-s10-n1-l4-f50.pddl,1,3,3,3,1
psr-small,p07-s11-n1-l4-f70.pddl,1,4,4,4,1
psr-small,p08-s12-n1-l5-f10.pddl,1,3,3,3,1
psr-small,p09-s13-n1-l5-f30.pddl,1,3,3,3,1
psr-small,p10-s17-n2-l2-f30.pddl,2,5,5,5,2
psr-small,p11-s18-n2-l2-f50.pddl,2,7,7,7,2
psr-small,p12-s21-n2-l3-f30.pddl,2,6,6,6,2
psr-small,p13-s22-n2-l3-f50.pddl,3,8,8,8,3
psr-small,p14-s23-n2-l3-f70.pddl,2,4,4,4,2
psr-small,p15-s24-n2-l4-f10.pddl,2,5,5,1,2
psr-small,p16-s29-n2-l5-f30.pddl,2,11,11,1,3
psr-small,p17-s30-n2-l5-f50.pddl,2,4,4,4,2
psr-small,p18-s31-n2-l5-f70.pddl,2,5,5,5,2
psr-small,p19-s33-n3-l2-f30.pddl,2,17,16,1,5
psr-small,p20-s34-n3-l2-f50.pddl,3,7,7,7,3
psr-small,p21-s35-n3-l2-f70.pddl,3,5,5,5,3
psr-small,p22-s37-n3-l3-f30.pddl,4,14,14,14,4
psr-small,p23-s38-n3-l3-f50.pddl,3,6,6,6,3
psr-small,p24-s39-n3-l3-f70.pddl,3,5,5,5,3
psr-small,p25-s40-n3-l4-f10.pddl,2,4,4,1,2
